新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
官方	官方，词语，有多种释义。一般解释为政府方面，古代指设官府。又指掌控权利的一方，例如公司的“官方”，“官网”则是官方网站。另外也指，某一方说的什么都是有理由的，没有不对的地方。官方是指举办某场社会活动事件的组织者，或某种商业产品的推广经营者，即主办方，是一个直接面对消费者的团体组织或企业。主办方具有权威性，有着制定力。简而言之，官方对于某指定生产商品有着最大解释权和定义权，对于该商品来说，官方信息也是最具权威、正确的信息。现代商业中，企业以广告赞助的方式，取得某场活动的指定消费品，例如：官方用车，官方指定饮料等，以达到品牌推广及销售的目的。
羽绒	羽绒是长在鹅、鸭的腹部，成芦花朵状的绒毛，成片状的叫羽毛。由于羽绒是一种动物性蛋白质纤维，羽绒球状纤维上密布千万个三角形的细小气孔，能随气温变化而收缩膨胀，产生调温功能，可吸收人体散发流动的热气，隔绝外界冷空气的入侵。从蓬松度的检测上来分析，羽绒比蚕丝，棉花等保暖材料都要高一个等级，比如最低标准的450度蓬松的90鸭绒也要比蚕丝和棉花蓬松好，所以羽绒单纯作为一个保暖材料，它的经济价值远远高于其他保暖材料
双面	《双面》，是莫文蔚第一首个人创作曲，由音乐才女黄韵玲制作。拍手的节奏与自由的随意吟唱互相呼应，别开生面。
女中	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
工装	工装是为工作需要而特制的服装。在设计上，根据客户的要求，结合职业特征、团队文化、年龄结构、体型特征、穿着习惯等，从服装的色彩、面料、款式、造型、搭配等多方面考虑，提供最佳设计方案，为顾客打造富于内涵及品位的全新职业形象。另指装修的另一分类，即装修两大块之一，家装、工装。
帆布鞋	帆布鞋是一种兴起于欧洲的厚胶底，鞋面覆帆布的鞋。因穿着轻便，耐穿，价格低廉广受世界各地人民欢迎。款式主要有高帮、低帮。
拉链	拉链（zipper） 是依靠连续排列的链牙，使物品并合或分离的连接件，现大量用于服装、包袋 、帐篷等。
西装	西装又称作“西服”、“洋装”。西装是一种“舶来文化”，在中国，人们多把有翻领和驳头，三个衣兜，衣长在臀围线以下的上衣称作“西服”，这显然是中国人民对于来自西方的服装的称谓。
餐桌	餐桌的原意，是指专供吃饭用的桌子。按材质可分为实木餐桌、钢木餐桌、大理石餐桌、大理石餐台、大理石茶几、玉石餐桌、玉石餐台、玉石茶几、云石餐桌等。另外，是在网络上，人们对于生活不满的发泄，比较多的用在魔兽世界游戏中。形象的比喻为：我们的人生就像是餐桌，上面摆满了杯具（悲剧）和餐具（惨剧）。
茶壶	茶壶（英文：teapot），是一种泡茶和斟茶用的带嘴器皿。它是茶具的一种，主要用来泡茶。茶壶由壶盖、壶身、壶底、圈足四部分组成，壶盖有孔、钮、座、盖等细部。壶身有口、延（唇墙）、嘴、流、腹、肩、把（柄、扳）等部分。由于壶的把、盖、底、形的细微差别，茶壶的基本形态就有200种。泡茶时，茶壶大小依饮茶人数多少而定。茶壶的质地很多，目前使用较多的是以紫砂陶壶或瓷器茶壶。相关经典名句：“一器成名只为茗，悦来客满是茶香。”
室内	室内，卧室 室内 英文名：indoor 1.谓祖庙之内。室，指太室。《史记·楚世家》：“初， 共王 有宠子五人，无适之，乃望祭羣神，请神决之，使主社稷，而阴与 巴姬 埋璧於室内，召五公子斋而入。” 2.家中。《列子·杨朱》：“﹝ 公孙朝 ﹞不知世道之安危，人理之悔吝，室内之有亡，九族之亲疏，存亡之哀乐也。” 宋 陈鹄 《耆旧续闻》卷十：“ 放翁 先室内琴瑟甚和，然不当母夫人意，因出之。夫妇之情实不忍离。” 3.[indoor] 一所建筑物的内部,由6个面组成。 随着工业的飞速发展，同时人类的物质也在不段的提高，也推动了室内装饰这一块的提高。 
裙子	裙子指一种围在腰部以下的服装。裙装是一种围于下体的服装，也是下装的基本形式之一。广义的裙子还包括连衣裙、衬裙、短裙、裤裙、腰裙。裙一般由裙腰和裙体构成，有的只有裙体而无裙腰。它是人类最早的服装。因其通风散热性能好，穿着方便，行动自如，美观，样式变化多端诸多优点而为人们所广泛接受，其中以女性和儿童穿着较多。
帅气	漂亮；英俊；酷；使人惊艳的。可用来形容人物或事，形容人物时多指男性。
秋冬装	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
春季	四季之一。从节气意义上讲，春季的开始是在立春（2月2日至5日之间），春季的结束在立夏（5月5日至7日之间）。在欧美，春季从中国的春分开始，到夏至结束。在爱尔兰，2月~4月被定为春季。气象工作者就研究出一种尽量符合自然景象的四季划分标准，以5天平均气温为标准，把冬季以后五天平均气温稳定通过10℃时开始进入春季，当温度高于22℃时意味着春季的结束夏季的开始。
12	12（十二）是介于11与13之间两位数、自然数，是一个偶数，因数有1、2、3、4、6和12。日常算数单位中，12个也叫做一打。
10	10，相当于汉字"十"，是位于9与11之间的自然数、正整数，是一个自然数。在十进制中，10是最小的两位数。写法是一个1后面加一个0，是一个合数，有4个因数（约数），是一个有理数。
格子	格子就是将网站首页划分成若干小格子放置别人的图片，或者出售，你买下来后可以在上面放上广告或者其他信息。说到格子就要提到把格子发扬光大的英国一个大学生。
特价	特价，特别优惠的价格、特别低廉价格的简称。就是一种比市场价格要低的一种商品的价格，它普遍存在于商业中的各种营销活动中，是各种经济体营销的重要的手段之一。以较市场价偏低的价格，以接近成本价的价格，在同种商品中脱颖而出，对消费者更具有吸引力，更有号召力，从而，占有更大的市场份额。成规模的商家往往主打价格优势，以特价的形式，赢得自己的市场空间，在竞争激烈的市场空间中，薄利多销成为众多商家制胜的法宝。2017年12月1日，《公共服务领域英文译写规范》正式实施，规定特价标准英文名为Special Offer。
田园	田沅，1985年3月30日出生于湖北省武汉市，中国内地影视女演员、歌手、导演、作家。2001年，16岁的田沅便加入跳房子乐队担任主唱。2002年，田沅凭借个人首张音乐专辑《A Wish-ful Way》获得中国摇滚总评中国最具国际化魅力女歌手称号；同年，她还出版了个人首部长篇小说《斑马森林》。2005年，田沅凭借个人电影处女作《蝴蝶》获得第24届香港金像奖最佳新人奖。2008年，田沅主演了喜剧片《高兴》。2011年，她将工作重心转向导演领域，并执导了《盲糖》等十几部微电影作品。2014年，其主演的剧情片《黄金时代》在国内院线全面上映。
呢大衣	网站简介呢大衣，创立于2012年，主要为广告城市爱美女性提供一个选购服的平台，网站主要针对呢大衣这类衣服进行衍生，主要有呢子大衣，呢子外套，毛呢大衣，毛呢外套，毛呢大衣品牌，羊毛呢大衣，毛呢裙等各类呢类款衣服，让大家在家上网就能找到自己喜欢的呢大衣！网站分类女式呢大衣 毛呢裙网站宗旨方便广大女性用户能够快捷的发现与购物自己喜欢的呢大衣服务群体爱美追求时尚的年轻城市女性 
女包	女包，这个名词是箱包的性别分类衍生词。有性别区分并仅限于符合女性审美观的箱包统称为女包。女包也是女性的随身装饰品之一。按照国内的分类来说，一般按照功能来分：短款钱包、长款钱包、化妆包、晚装包、手提包、单肩包、双肩包、斜挎包、旅行包、胸包以及多功能包。
充电	充电是一个汉语词汇，指给蓄电池等设备补充电量的过程。其原理是让直流电从放电相反的方向通过，以使蓄电池中活性物质恢复作用。它有引申义比如学习，工作等。
阳台	是建筑物室内的延伸，是居住者呼吸新鲜空气、晾晒衣物、摆放盆栽的场所，其设计需要兼顾实用与美观的原则。阳台一般有悬挑式、嵌入式、转角式三类。阳台不仅可以使居住者接受光照、吸收新鲜空气、进行户外锻炼、观赏、纳凉、晾晒衣物，如果布置得好，还可以变成宜人的小花园，使人足不出户也能欣赏到大自然中最可爱的色彩，呼吸到清新且带着花香的空气。
水壶	水壶，是一种盛水的容器。有很多种材质，可以指烧水用的金属壶，也可以指便于携带的饮用水壶，主要分为五大类：1、塑料的（主要材料）2、不锈钢的3、铝合金的4、陶瓷的5、其它材质的，可由电加热也可直接用火加热。
夏装	夏季穿着清凉避暑的服装，称夏装。一般指短袖，背心，短裤，裙子等比较凉快透气的服装服饰．
拖鞋	拖鞋是鞋子的一种，后跟全空，只有前面有鞋头，多为平底，材质经常是相当轻软的皮料、塑料、布料等。拖鞋种类依穿着场合及性能用途有所区分。例如海滩拖鞋，就不会是布料制，而是塑料，这是为了要防水，好清洗的缘故，鞋头型式也经过特别设计，常被称为夹脚拖鞋，也就是我们所说的人字拖。但冬天的室内拖鞋，则为了保暖，可能使用绒毛布，而不使用塑料，使人们在居室内有更好的享受。另有电子厂及无尘车间常用的防静电拖鞋。
棒球	棒球是一种以棒打球，以团队性、对抗性为显著特征的球类运动项目。棒球在国际上开展广泛，主要流行于美国、日韩，以及拉丁美洲和中国的台湾地区。棒球是一种团体性体育运动，比赛人数最少为9人，近似运动项目为垒球。棒球球员分为攻、守两方，利用球棒和手套，在一个直角扇形的棒球场里进行比赛。比赛时，两队轮流攻守：当进攻球员成功跑回本垒，就可得1分。比赛共有9局，得分高的一队胜。第9局结束双方打平就会进入延长局，直至分出胜负。棒球从1992年巴塞罗那奥运会开始成为正式比赛项目，但2012伦敦奥运会开始不再作为比赛项目，2020年东京奥运会，棒球重新成为比赛项目。另外，奥运会棒球只设男子项目。
单人	《单人》是由潘成、小昔米作词，潘成作曲，杨云祥编曲，江安缩混，朱元冰演唱的一首歌曲。
平底	平底是陶瓷容器底部形式之一。即整个底面比较平坦，无明显起伏。有轻微弧凹的底形也属平底范畴。
性感	性感是一个汉语词汇，指某个人的文化气质、 身材相貌或穿着打扮或动作，唤醒他人“感性意识认知的魅力美”。“性感”即能对他人具有亲和力以致引起他人爱恋的感觉。性感这个概念还包括着一种极具个性的气质，一股能够吸引别人的个人魅力和一份可以恰到好处地展现内在和自身优势的智慧。性感可指很多方面，身材、衣着、外貌、发型、谈吐、表情、姿势等。
三件套	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
经典	经典读音jīngdiǎn英文名classics:指具有典范性、权威性的；经久不衰的万世之作；经过历史选择出来的“最有价值经典的”;最能表现本行业的精髓的；最具代表性的；最完美的作品。
文艺	文艺 Literature and art：文学和艺术，有时指文学或表演艺术，是人们对生活的提炼，升华和表达。文艺的开始意味着人类的文艺复兴，人类将重新发现了人和人格的伟大，肯定了人的价值和能力，提出人要养育人格，个性应该智慧；一致幸福的求实精神，对人首先要研究个究竟，决不满足于对其他事物的一知半解，为创造现实幸福生活而奋斗的乐观进取精神，把人从以往历史、民族、宗教、地域等诸多划分的桎梏下解放出来。
现货	现货（Actuals）也称实物（physicals），指可供出货、储存和制造业使用的实物商品。可供交割的现货可在近期或远期基础上换成现金，或先付货，买方在极短的期限内付款的商品的总称。现货是期货的对称。
保温杯	保温杯（Vacuum cup）一般是由陶瓷或不锈钢加上真空层作成的盛水的容器，顶部有盖，密封严实，真空绝热层能使装在内部的水等液体延缓散热，以达到保温的目的。保温杯从保温瓶发展而来的，保温原理与保温瓶一样，只是人们为了方便把瓶做成杯。
内衣	内衣（英文名：Underwear）是指贴身穿的衣物，包括肚兜、汗衫(长袖、短袖、背心)、短裤、抹胸、胸罩等，通常是直接接触皮肤的，是现代人不可少的服饰之一。内衣有吸汗、矫型、衬托身体、保暖及不受来自身体的污秽的危害的作用，有时会被视为性征。
浴室	《浴室》是2006年由南海出版社出版的图书，作者是深圳市金版文化发展有限公司。《浴室》是《餐厨卫浴设计系列》的其中一本，书中包含设计方案、知识介绍、100个客厅案例，100条装修知识，为读者提供全面的装修知识。
神器	神器【拼音】shénqì 【解释】 1.犹言神物。《老子》：“将欲取天下而为之，吾见其不得已。天下神器，不可为也。为者败之。” 王弼 注：“神，无形无方也，器，合成也，无形以合，故谓之神器也。” 2.代表国家政权的实物，如玉玺、宝鼎之类。借指帝位、政权。《汉书·叙传上》：“世俗见 高祖 兴于布衣，不达其故，以为适遭暴乱，得奋其剑，游说之士至比天下於逐鹿，幸捷而得之，不知神器有命，不可以智力求也。” 颜师古 注引 刘德 曰：“神器。玺也。”《文选·左思〈魏都赋〉》：“ 刘 宗委驭，巽其神器。” 吕延济 注：“神器，帝位。” 唐 杜甫 《送从弟亚赴河西判官》诗：“经纶皆新语，足以正神器。” 仇兆鳌 注引《汉书注》：“神器，政令也。”《三国演义》第八十回：“ 曹氏 大骂曰：‘吾父功盖寰区，威震天下，然且不敢篡窃神器。’” 曹亚伯 《武昌革命真史·武昌起义·檄各府州县电》：“窥窃我神器，诛锄我人民
系列	系列是汉语词语，拼音xìliè，是指相互关联的成组成套的事物或现象。出自柯岩《船长》：“我们可以采取改变航向、变更航速、减轻正面迎风及开慢车等一系列技术措施嘛！” 陈原《社会语言学·语言作为一种社会现象》：“语言属于社会现象的系列时，意味着什么呢？”。
舒适	舒适（1916年4月19日——2015年6月26日），男，原名舒昌格，浙江慈溪人。持志大学肄业。1938年后任青鸟剧社、上海大同摄影场、金星影片公司演员和编导。1952年后任上海电影制片厂演员、导演，中国影协第三、四届理事。曾主演《林冲》、《水上春秋》，在《红日》中饰演张灵甫而家喻户晓。导演过《绿海天涯》等影片。2015年6月26日，舒适去世，享年99岁。
皮衣	皮衣是采用动物皮经过特定工艺加工成的皮革做成的衣服，主要作用是防寒，皮衣采用的制作原料有牛皮、羊皮、蛇皮、鱼皮等动物皮。皮衣皮质柔软，没有残疵点，色彩均匀，没有明显色差，有光泽，颜色协调。皮革及其制品的市场潜力是很大的，全球皮革总需求量约为1.0亿平方米，相当于3亿张牛皮（标准皮）的产量，中国皮革产量折合标准皮近7000万张，约占全球皮革产量的23.33%。
韩版潮	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
男孩	《男孩》是梁博演唱的歌曲，由梁博创作词曲并编曲，并由梁博在湖南卫视《歌手2017》首演。
四季	指一年中交替出现的四个季节，即春季、夏季、秋季和冬季。在天文上，季节划分是以地球围绕太阳公转轨道上位置确定的。当地球在一年中不同的时候，处在公转轨道的不同位置时，地球上各个地方受到的太阳光照是不一样的，接收到太阳的热量不同，产生季节的变化和冷热的差异。地球上的四季不仅是温度的周期性变化，而且是昼夜长短和太阳高度的周期性变化。它影响或者决定地球环境中很多事物的运动节律，尤其是生物适应最为明显。
文胸	胸罩（Brassiere）是女性使用的内衣之一，又称奶头布、乳罩、乳房罩，奶罩或文胸等，功能是用以遮蔽及支撑乳房。“胸罩”一词据说第一次出现在1907年，那年美国版的时尚杂志《VOUGE》印有这个"bra"字眼，"bra"（胸罩）这个词并于1911年被正式载入牛津词典。胸罩起源说法不一，但多认为源自法国，称之为“Brassière”（简称为“Bra”）。中世纪的欧洲贵族流行穿一种非常紧身的束衣，后来因束衣太麻烦，改用两条手帕制成胸衣，成为了现代胸罩的雏型。
毛领	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
装饰品	装饰品是可以起到修饰美化作用的物品，比如装修效果图造型的轮廓和雕刻装饰；或在身体或物体的表面加些附属的东西，使之更美观。装饰品可以起到点缀和衬托的作用。
吊灯	吊灯是指吊装在室内天花板上的高级装饰用照明灯。吊灯无论是以电线或以铁支垂吊，都不能吊得太矮，阻碍人正常的视线或令人觉得刺眼。以饭厅的吊灯为例，理想的高度是要在饭桌上形成一池灯光，但又不会阻碍桌上众人互望的视线。现时吊灯吊支已装上弹簧或高度调节器，可适合不同高度的楼底和需要性。
婴幼儿	婴儿和幼儿的统称，一般是指0-3岁的小龄孩子。婴儿与幼儿之间有莫大的联系，因此在许多的儿童论著、医学论著、儿童早期教育等会将它们并起来说，以示方便理解。虽然它们之间有着密切的联系，但如果从孩子发展层面来说还是有两个方面区别，一为婴儿（0-1岁）和幼儿（1-3岁）。婴幼儿是一个受护群体，饮食方面尤为重要，婴儿以母乳为主食（4-6个月后逐渐添加辅食），1岁后以成人食物为主食。
壁挂	挂在墙壁上的一种装饰性织物。包括毛织壁挂、印染壁挂、刺绣壁挂、棉织壁挂等。毛织壁挂也叫壁毯、挂毯。
马丁	乔治·雷蒙德·理查德·马丁（George Raymond Richard Martin），通常被称为乔治·R·R·马丁或GRRM，是一名擅长撰写奇幻、科幻和恐怖小说题材的美国作家、编辑、电视剧编剧兼制片人，雨果奖、星云奖、轨迹奖、世界科幻奖等文学奖项的多次得主。马丁的作品主要以人物为关注点，描写细腻丰富，突破了幻想文学界固有的创作模式，多次引领阅读潮流。代表作有十大浪漫太空歌剧之一的《光逝》、由雨果奖获奖名篇扩展而成的《风港》、在杂志读者群中深受爱戴的《图夫航行记》，以及当代严肃奇幻的经典《冰与火之歌》（A Song of Ice and Fire）系列等。由于马丁作品的辉煌成就，他被《时代》杂志誉为“美国的托尔金”和“新世纪的海明威”。
春秋季	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
水果	水果，是指多汁且主要味觉为甜味和酸味，可食用的植物果实。水果不但含有丰富的维生素营养，而且能够促进消化。
杯子	杯子，（一种专门盛水的器皿）从古至今其主要功能都是用来饮酒或饮茶。在古代喝茶的杯子被称为盖碗。基本器型大多是直口或敞口，口沿直径与杯高近乎相等。有平底、圈足或高足。考古资料表明最早的杯始见于新石器时代。无论是在仰韶文化、龙山文化还是河姆渡文化遗址中都见有陶制杯的存在，这一时期杯型最为奇特多样：带耳的有单耳或双耳杯、带足的多为锥形、三足杯、觚形杯、高柄杯等等，根据制作材料不同，可以分为玻璃杯、塑料杯、陶瓷杯、木杯等。
益智	益智（拉丁学名：Alpinia oxyphylla Miq.），别名：益智仁、益智子。姜科，山姜属多年生草本植物。株高可达3米；茎丛生；根茎短，叶片披针形，总状花序在花蕾时全部包藏于一帽状总苞片中，花时整个脱落，花序轴被极短的柔毛；花萼筒状，花冠白色，外被疏柔毛；唇瓣倒卵形，粉白色而具红色脉纹，蒴果鲜时球形，干时纺锤形，种子不规则扁圆形，被淡黄色假种皮。果实椭圆形，两端略尖，表面棕色或灰棕色，有纵向凹凸不平的突起。果皮薄而较韧，与种子团紧贴。种子团被隔膜分为3瓣，每瓣有种子6-11粒。种子呈不规则的扁圆形，略有钝棱，直径约3mm，表面灰褐色或灰黄色，外被淡棕色膜质的假种皮。花果期3～9月。生长于阴湿林下。分布海南及广东南部。夏、秋间果实由绿变红时采收，晒干或低温干燥。有特异香气，味辛、微苦。果实供药用，有益脾胃，理元气，补肾虚滑沥的功用。治脾胃（或肾）虚寒所致的泄泻，腹痛，呕吐，食欲不振，
耳机	耳机(Earphones; Headphones; Head-sets; Earpieces)是一对转换单元，它接受媒体播放器或接收器所发出的电讯号，利用贴近耳朵的扬声器将其转化成可以听到的音波。耳机一般是与媒体播放器可分离的，利用一个插头连接。好处是在不影响旁人的情况下，可独自聆听音响；亦可隔开周围环境的声响，对在录音室、酒吧、旅途、运动等在噪吵环境下使用的人很有帮助。耳机原是给电话和无线电上使用的，但随着可携式电子装置的盛行，耳机多用于手机、随身听、收音机、可携式电玩和数位音讯播放器等。从整个音频行业的发展来看，无线耳机仍然算是新生事物，发展时间并不长，目前仍处在上升期，用户需求不断提升，用户对无线耳机的期望值也在提高，这就是对行业提出的新的考验。目前用户最关心的几个要点包括音质、续航能力和无线传输能力，从数据上来看，无线传输能力基本已经可以满足绝大多数用户的需求，而音质和续航能力还有
德国	德意志联邦共和国（德语：die Bundesrepublik Deutschland），简称德国（两德统一前简称西德或联邦德国），是位于中欧的联邦议会共和制国家，北邻丹麦，西部与荷兰、比利时、卢森堡和法国接壤，南邻瑞士和奥地利，东部与捷克和波兰接壤，该国由16个联邦州组成，首都为柏林，领土面积357167平方公里，以温带气候为主，人口约8267万人，是欧洲联盟中人口最多的国家，以德意志人为主体民族。 德国人的祖先是古代居住在中欧的日耳曼人。10世纪时日耳曼人建立神圣罗马帝国，后发生分裂。1871年普鲁士王国吞并除
用品	用品：指一些人类所能够使用东西及类品，例如：生活用品，洗车用品，保洁用品，婴幼儿用品等等．这些都可以归类为用品种类．
防风	防风（Saposhnikovia divaricata (Trucz.) Schischk.）多年生草本，根粗壮，细长圆柱形，淡黄棕色。茎单生，自基部分枝较多，与主茎近于等长，有细棱，基生叶丛生，有扁长的叶柄，基部有宽叶鞘。叶片卵形，有柄。茎生叶与基生叶相似，但较小，顶生叶简化，有宽叶鞘。复伞形花序多数，生于茎和分枝，顶端花序梗长2-5厘米；伞辐无毛；小伞形花序有花4-10；无总苞片；小总苞片线形，先端长约3毫米，萼齿短三角形；花瓣倒卵形，白色，无毛。双悬果狭圆形，幼时有疣状突起，成熟时渐平滑；花期8-9月，果期9-10月。产中国黑龙江、吉宁、辽宁、内蒙古、河北、宁夏、甘肃、陕西、山西、山东等省区。生长于草原、丘陵、多砾石山坡。根供药用，用于治感冒、头痛、周身关节痛、神经痛等症。（概述图片来源：）
过膝	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
睡衣	睡衣早已成为西方生活方式的象征。说到这个词的起源，你也许会大跌眼镜，因为如此“洋味”十足的东西竟是个地道的外来词。原词paejama来自北印度语，它由波斯语中的pai和jamah两个词组合而成。pai在波斯语中表示“腿”，而jamah表示“衣服”。pajamas顾名思义就是腿部的服装——裤子。这本是一种中东和印度人外出穿的宽松裤子，然而欧洲殖民者们别出心裁赋予了它新的作用——睡裤。
双层	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
水洗	摄影中在冲卷和放照片是显影后有一步水洗过程这里是讲把底片或相纸放在装满水的容器里洗掉上边的药水免得在下一步时和其他药品发生化学反应。还有很多行业利用到水洗。
靴子	しゅーず（shoose），于2009年10月在日本大型人气网站ニコニコ动画（niconico动画）活动的人气歌い手（唱见）。以具有磁性且清澈的声线著称，辨识度极强，能游刃有余地驾驱各种曲风。初投稿曾获得「疲劳系男子」的称号，但到了后期他的唱法又有了很大改变和进步。感情的爆发经常会使用哭腔，以至于他的曲子具有惊人的中毒性。翻唱时多与あいす（aisu）合作，和他在C86以组合しゅーあいす的名义发布了专辑空想カプセル。和38番、ココヤシ、わたあめ、茶绪、にっとメガネ以「なつうた（夏天的歌）」的名义实行「怀旧曲试唱计划」。投稿过宅舞视频，和オトメン与Moz组成黒ゐ明太子的舞蹈组合，除此之外还参加过两个舞蹈视频投稿。除了「なつうた」中的人外，和ギガP(GigaP)、オトマン、茶绪、れをる（reol）等人关系良好，很喜欢ジミーサムP。生放送完成度极高，live中的口碑也很好。于2015年11月4日发行
春夏	春夏，1992年12月5日出生于云南省昆明市，中国内地影视女演员、平面模特。2013年，出演个人首部电视剧《我心灿烂》，从而正式进入演艺圈。2014年，主演都市情感轻喜剧《我的博士老公》；同年，出演个人首部电影《踏血寻梅》，在片中饰演女主角王佳梅。2015年，凭借电影《踏血寻梅》获得“第19届富川国际奇幻电影节”最佳女主角奖。2016年4月3日，凭借电影《踏血寻梅》获得“第35届香港电影金像奖”最佳女主角奖；同年，主演青春爱情电影《完全男生手册》武侠电影《刀背藏身》。2018年，其主演的奇幻冒险电影《怪物先生》正式杀青；11月13日，其主演的警匪电影《限期破案》开机。
旅行	旅行，指远行；去外地办事或游览。去外地行走。不同于旅游。旅行和旅游的区别就在于：旅行是在观察身边的景色和事物，行万里路，读万卷书，相对于是指个人，是行走。旅游是指游玩，通常是团体出行，在时间上是很短暂的。旅游就是旅行游览活动。它是一种复杂的社会现象，旅行要涉及到社会的政治、经济、文化、历史、地理、法律等各个社会领域。旅游也是一种娱乐活动，任何去外地游玩都可以算。世界旅游组织指旅行的定义是某人出外最少离家55英里（88.5千米）。
高帮	high-layer 指砂层位于水面以上垂直高度。 当工业指标中有盖层剥离比要求时，非含目的矿物砂粘土层称高帮；工业指标为混合砂时称干帮。1 另指鞋袜筒的高度比较高 
天然	天然，拼音tiān rán，释义：自然生成的，自然形成的(区别于人工、人造)；指事物不加修饰的本色；指诗文书画等的自然风致和情趣；理所当然，自然而然；指天性、本性；自然赋予的，生来具备的。出自《史记·平津侯主父列传》：“臣窃以为陛下天然之圣，宽仁之资，而诚以天下为务，则 汤 武 之名不难侔，而 成 康 之俗可复兴也。”
落地	落地，指婴儿出生，指物体的下端直达地面，物体落到地上或声音停止等意义。古义原指科举时代应试不中。出自晋 陶潜《杂诗》之一。
防晒	防晒是指为达到防止肌肤被晒黑、晒伤等目的而采取一些方法来阻隔或吸收紫外线。一般的防晒方法：涂抹防晒产品、使用防晒衣等物品、食用防晒食物等。防晒产品分为物理防晒、化学防晒、生物防晒；其中，防晒指数的高低能够反映防晒产品紫外线防护能力的大小。
马甲	马甲是干贝的别称，软体动物，肉柱称“江珧柱”，干制后又称“干贝”，是珍贵的海味品。亦称“玉珧”，出自《周愚卿江西美刘棠仲同赋江珧诗牵强奉答》。
棉袄	棉袄是一种在冬季穿用的具有很强保暖作用的上衣，这种服装一共有三层，最外一层叫面子，主要是用一些较厚的颜色鲜艳或有花纹的布料;中间一层是具有很强保暖作用的棉花;最里一层叫里子，一般是用比较轻薄的布料。还有一种棉袄是把面子和夹有棉花的保暖层分开制做的，这种棉袄就有了四层，穿的时候只要把保暖层套在里面就行了，它们用拉链或扣子相连接。
台式	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
床上用品	床上用品指摆放于床上，供人在睡眠时使用的物品，包括被褥、被套、床单、床罩、床笠、枕套、枕芯、毯子、凉席和蚊帐。床上用品是家纺的重要组成部分，按照中国家纺协会的分类有：1,套罩类，2 枕类，3 被褥类，4、套件。
游戏	游戏是所有哺乳类动物，特别是灵长类动物学习生存的第一步。它是一种基于物质需求满足之上的，在一些特定时间、空间范围内遵循某种特定规则的，追求精神世界需求满足的社会行为方式，但同时这种行为方式也是哺乳类动物或者灵长类动物所需的一种降压减排的方式，不管是在出生幼年期，或者发育期，成熟期都会需要的一种行为方式。合理适度的游戏允许人类在模拟环境下挑战和克服障碍，可以帮助人类开发智力、锻炼思维和反应能力、训练技能、培养规则意识等，大型网络游戏还可以培养战略战术意识和团队精神。但凡事过犹不及，过度游戏也会对人的身心健康产生危害，沉迷于虚拟世界里，随心所欲的宣泄情感，因此长期沉迷网络游戏的孩子会对周围的人和事冷漠麻木，有的还会荒废学业，甚至发生犯罪现象，给正常生长带来各种各样的危害。2018年6月18日，世界卫生组织发布新版《国际疾病分类》，“游戏障碍”，被列为疾病。但是游戏障碍与人们口中说的游戏成瘾是两
办公室	办公室读音bàngōngshì英文名Office： 处理一种特定事务的地方或提供服务的地方。是提供工作办公的场所，不同类型的企业，办公场所有所不同，由办公设备，办公人员及其它辅助设备组成，在办公室适合放些对人和工作氛围有帮助的东西，如花，画等。 办公室，还可以指一种机构，如区委办公室、区政府办公室、党校办公室等，它是一个单位对外的窗口，对内协助领导工作的机关。
包包	包包（英文：Bag），即手袋箱包，包括钱包、钥匙包、零钱包、手拿包、拎包、背包、书包、挎包、公文包等等。不仅用于存放个人用品，也能体现一个人的身份、地位、经济状况乃至性格等等。一个经过精心选择的皮包具有画龙点睛的作用，它能将你装饰成真正的女白领。
两用	两用，拼音lǐang yòng，是指并用；一起使用。
功夫	《功夫》是由周星驰执导，周星驰、曾谨昌、霍昕、陈文强编剧，周星驰、梁小龙、元华等主演的动作喜剧类电影，于2004年12月23日在中国上映。影片讲述了一个街头混混变成一代武术家，一个本性善良的黑帮流氓改邪归正的故事。
